what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361530370
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1457361545689
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1457361547520
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.TypeHierarchy",1457361547550
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1457361547722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361548074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361553300
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1457361560564
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1457361562066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1457361562127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361568177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361576101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361577197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361650426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361650702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361713563
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1457361715653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361716027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361717724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361717926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361718332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361719814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361736436
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1457361738685
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1457361738794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361742132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1457361745783
